"","FULL_FIPS2","NAME.x","Year","UNEMP_RATE","POV_PERCENT_ALL","MED_INC","UNINSURED_RATE"
"1",1001,"Autauga County, AL",2008,5.3,"10.7","51622","13.3"
"2",1003,"Baldwin County, AL",2008,4.8,"9.9","51957","16.4"
"3",1005,"Barbour County, AL",2008,9.1,"24.5","30896","17.6"
"4",1007,"Bibb County, AL",2008,6,"18.5","41076","18"
"5",1009,"Blount County, AL",2008,4.8,"13.1","46086","19.4"
"6",1011,"Bullock County, AL",2008,10.9,"33.6","26980","19.1"
"7",1013,"Butler County, AL",2008,8.8,"22.3","31449","17.1"
"8",1015,"Calhoun County, AL",2008,5.9,"17.6","39997","15.4"
"9",1017,"Chambers County, AL",2008,14.9,"18.7","35614","17"
"10",1019,"Cherokee County, AL",2008,5.9,"17.7","38028","17.1"
"11",1021,"Chilton County, AL",2008,5.2,"17.1","40292","19"
"12",1023,"Choctaw County, AL",2008,8.6,"22.9","30728","15.9"
"13",1025,"Clarke County, AL",2008,9.3,"20.6","34101","16.8"
"14",1027,"Clay County, AL",2008,8.2,"16.9","33032","16.5"
"15",1029,"Cleburne County, AL",2008,5.2,"14.8","37742","17.6"
"16",1031,"Coffee County, AL",2008,5,"15.2","43145","15.7"
"17",1033,"Colbert County, AL",2008,6.7,"12.7","39947","15.7"
"18",1035,"Conecuh County, AL",2008,9.7,"24.9","27068","15"
"19",1037,"Coosa County, AL",2008,8.5,"15.7","36050","15.4"
"20",1039,"Covington County, AL",2008,6.1,"18.9","33773","16.2"
"21",1041,"Crenshaw County, AL",2008,5.7,"18.9","34402","18.3"
"22",1043,"Cullman County, AL",2008,5,"14.8","39276","17.7"
"23",1045,"Dale County, AL",2008,5.6,"15","42867","13.7"
"24",1047,"Dallas County, AL",2008,11.5,"29.9","27992","15.2"
"25",1049,"DeKalb County, AL",2008,6,"18.7","35377","20.1"
"26",1051,"Elmore County, AL",2008,5.3,"11.4","53296","15.1"
"27",1053,"Escambia County, AL",2008,7.8,"24.1","32009","20.3"
"28",1055,"Etowah County, AL",2008,6.2,"16.7","37264","16.9"
"29",1057,"Fayette County, AL",2008,7.5,"19.8","34092","16.3"
"30",1059,"Franklin County, AL",2008,7.7,"19.5","35248","19.3"
"31",1061,"Geneva County, AL",2008,5.7,"17.8","32027","17.6"
"32",1063,"Greene County, AL",2008,8.8,"30.3","26001","15.4"
