"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2008"	"2008"	40	35356	113.1
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2009"	"2009"	35	35882	97.5
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2010"	"2010"	41	36165	113.4
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2011"	"2011"	51	36598	139.4
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2012"	"2012"	31	36440	85.1
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2013"	"2013"	43	36335	118.3
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2014"	"2014"	40	36389	109.9
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2015"	"2015"	37	36326	101.9
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2016"	"2016"	39	36350	107.3
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2017"	"2017"	33	36374	90.7
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2018"	"2018"	31	36279	85.4
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2019"	"2019"	27	36352	74.3
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2020 "	"2020"	52	36389	142.9
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2008"	"2008"	91	113235	80.4
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2009"	"2009"	113	115286	98.0
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2010"	"2010"	116	117014	99.1
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2011"	"2011"	104	119640	86.9
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2012"	"2012"	94	121355	77.5
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2013"	"2013"	108	123887	87.2
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2014"	"2014"	132	126179	104.6
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2015"	"2015"	128	127922	100.1
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2016"	"2016"	123	130198	94.5
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2017"	"2017"	134	132090	101.4
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2018"	"2018"	124	134713	92.0
